topik,pertanyaan,jawaban
Pengetahuan Umum,Siapa presiden pertama Indonesia? (variasi 1),Presiden pertama Indonesia adalah Soekarno.
Sains,Apa itu fotosintesis? (variasi 1),Fotosintesis adalah proses tumbuhan membuat makanan menggunakan cahaya matahari.
Teknologi,Apa itu AI? (variasi 1),AI adalah kecerdasan buatan yang memungkinkan komputer belajar dari data.
Pendidikan,Apa itu pecahan? (variasi 1),Pecahan adalah bilangan yang menyatakan bagian dari keseluruhan.
Layanan Masyarakat,Bagaimana cara membuat KTP? (variasi 1),Pembuatan KTP dilakukan di Disdukcapil dengan membawa dokumen yang diperlukan.
Pengetahuan Umum,Apa ibu kota Indonesia? (variasi 1),Ibu kota Indonesia adalah Jakarta.
Sains,Apa fungsi jantung? (variasi 1),Jantung berfungsi memompa darah ke seluruh tubuh.
Teknologi,Apa itu Python? (variasi 1),Python adalah bahasa pemrograman yang populer untuk AI dan data.
Pendidikan,Apa itu ekosistem? (variasi 1),Ekosistem adalah hubungan antara makhluk hidup dan lingkungannya.
Layanan Masyarakat,Bagaimana cara membuat KK? (variasi 1),Pengurusan KK dilakukan di Disdukcapil sesuai persyaratan.
Pengetahuan Umum,Apa itu ASEAN? (variasi 1),ASEAN adalah organisasi negara-negara di Asia Tenggara.
Sains,Apa fungsi paru-paru? (variasi 1),Paru-paru berfungsi untuk pertukaran oksigen dan karbon dioksida.
Teknologi,Apa itu internet? (variasi 1),Internet adalah jaringan komputer global yang saling terhubung.
Pendidikan,Apa itu persamaan linear? (variasi 1),Persamaan linear adalah persamaan matematika berderajat satu.
Layanan Masyarakat,Bagaimana cara mengurus BPJS? (variasi 1),BPJS dapat diurus melalui kantor BPJS atau layanan daring resmi.
Pengetahuan Umum,Apa itu PBB? (variasi 1),PBB adalah organisasi internasional yang menjaga perdamaian dunia.
Sains,Mengapa hujan terjadi? (variasi 1),Hujan terjadi karena penguapan air dan proses kondensasi di atmosfer.
Teknologi,Apa itu machine learning? (variasi 1),Machine learning adalah cabang AI yang mempelajari pola dari data.
Pendidikan,Apa itu kata kerja? (variasi 1),Kata kerja adalah kata yang menunjukkan suatu tindakan.
Layanan Masyarakat,Bagaimana cara mendapatkan KIP? (variasi 1),KIP dapat diajukan melalui sekolah sesuai persyaratan yang berlaku.
Pengetahuan Umum,Siapa presiden pertama Indonesia? (variasi 2),Presiden pertama Indonesia adalah Soekarno.
Sains,Apa itu fotosintesis? (variasi 2),Fotosintesis adalah proses tumbuhan membuat makanan menggunakan cahaya matahari.
Teknologi,Apa itu AI? (variasi 2),AI adalah kecerdasan buatan yang memungkinkan komputer belajar dari data.
